key,name,iataCode,website,type,foundationMoment,emailAdress,phoneNumber,key:administrator
#base entity
airline-01,Lorem ipsum dolor sit ame,DGX,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
#name standard variations
airline-02,L,VZX,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-03,Lo,ABB,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-04,Lorem ipsum dolor sit amet consectetur adipiscin,ABD,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-05,Lorem ipsum dolor sit amet consectetur adipiscing,ABE,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
#website standard variations
airline-06,Lorem ipsum dolor sit ame,ABF,ftp://a,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-07,Lorem ipsum dolor sit ame,ABG,ftp://a.b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-08,Lorem ipsum dolor sit ame,ABH,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-09,Lorem ipsum dolor sit ame,ABI,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-10,Lorem ipsum dolor sit ame,ABJ,https://www.lorem-ipsum.org,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-11,Lorem ipsum dolor sit ame,ABK,ftp://www.lorem-ipsum.org,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-12,Lorem ipsum dolor sit ame,JKL,http://www.lorem-ipsum.org/dolor/sit.html,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-13,Lorem ipsum dolor sit ame,ABM,http://www.lorem-ipsum.org/dolor/sit.html#dolor,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-14,Lorem ipsum dolor sit ame,ABN,http://example.org?a=1&b=2,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-15,Lorem ipsum dolor sit ame,ABO,http://example.org?,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-16,Lorem ipsum dolor sit ame,ABP,http://example.org?a,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-17,Lorem ipsum dolor sit ame,ABQ,http://example.org?a&b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-18,Lorem ipsum dolor sit ame,ABR,http://example.org/,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-19,Lorem ipsum dolor sit ame,ABS,http://example.org/a,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-20,Lorem ipsum dolor sit ame,ABT,http://example.org/a/b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-21,Lorem ipsum dolor sit ame,ABU,http://example.org/a/b?,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-22,Lorem ipsum dolor sit ame,ABV,http://example.org/a/b?a&b,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
#type standard variations
airline-23,Lorem ipsum dolor sit ame,ABW,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
airline-24,Lorem ipsum dolor sit ame,ABX,http://lorem.com/ipsum,LOW_COST,2012/07/02 0:00,acme@lorem-ipsum.org,123456,administrator-01
#foundationMoment standard variations
